run_name,model,dataset,version,seed,mode,protocol_variant,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,smearing_source,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured
extension3_lstm_full_dunnhumby_final_seed42_sample,extension3_lstm_full,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.2470881938934326,2.004237174987793,0.8533195829522782,1.0307891728870229,3.9614931274220506,-3.961494219592318,117.57711602188647,11872.0,11401.691535912454,3.9614931274220506,-3.9614931274220506,3.9470998758620297,-3.9470998758620297,-3.9614931274220506,3.9614931274220506,3.9614931274220506,0.9705918464329246,0.8235297098438245,1.3628553256817277,0.9838188492432762,63.022056579589844,100.9697265625,0.8295528069909385,1.0393232107162476,1.4886195659637451,0.4966534972190857,-5.26030552328659,4564.967396022821,347125.7604829216,328865.8908988304,5.260303804214398,5.260303804214385,-5.260303804214385,5.1243384273469,-5.1243384273469,-5.260303804214398,5.260303804214398,0.9637086469079803,27.51521755817735,62.8537712097168,100.6957778930664,0.7964553959386321,3.4144858333865105,0.8295547421841052,346205.21875,327981.0625,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2086.5158081054688,63355.44140625,65474.341796875,1.0307891728870229,0.9838188492432762,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_full_dunnhumby_final_seed7_sample,extension3_lstm_full,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.3304603099823,2.007995843887329,0.8514750157619387,1.077843175431882,7.668621820897226,-7.6686149658861185,227.60469564422965,11872.0,10961.581217423081,7.668621820897226,-7.668621820897226,7.65185742635153,-7.65185742635153,-7.668621820897226,7.668621820897226,7.668621820897226,0.956952415581396,0.8235297098438245,1.3595825429080064,0.9975336962732627,62.96437072753906,101.71121978759766,0.8281320826145143,1.0033290386199951,1.4257633686065674,0.5382631421089172,-6.2674063361764425,5438.951006874719,347125.7604829216,325369.9564554228,6.2674127086483535,6.2674127086483375,-6.2674127086483375,6.14421700836357,-6.14421700836357,-6.2674127086483535,6.2674127086483535,0.9533872088644587,27.51521755817735,62.79793930053711,101.43585205078125,0.7969193986859116,3.3809943948443704,0.8281323651593492,346205.21875,324502.90625,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1916.6099853515625,63355.44140625,63669.498046875,1.077843175431882,0.9975336962732627,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_none_dunnhumby_final_seed123_sample,extension3_lstm_none,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.4384496212005615,2.02077317237854,0.8499010280230396,1.0796100021158872,7.836901361964935,-7.836897610975405,232.59923242311925,11872.0,10941.603070307523,7.836901361964935,-7.836901361964935,7.8335296693063095,-7.8335296693063095,-7.836901361964935,7.836901361964935,7.836901361964935,0.9614931383691518,0.8235297098438245,1.3660374935432051,0.9890080034655997,63.825016021728516,103.2862777709961,0.8281096336365773,1.0015305280685425,1.4262733459472656,0.5379327535629272,-3.448219053181736,2992.4184127703666,347125.7604829216,335156.0868318402,3.448223961952362,3.448223961952341,-3.448223961952341,3.4168276498043,-3.4168276498043,-3.448223961952362,3.448223961952362,0.9610097338659761,27.51521755817735,63.654537200927734,103.00570678710938,0.7958591026324607,3.3618979834451848,0.8281267667771416,346205.21875,334266.25,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1910.767578125,63355.44140625,64779.5546875,1.0796100021158872,0.9890080034655997,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_none_dunnhumby_final_seed42_sample,extension3_lstm_none,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.367561101913452,2.0293524265289307,0.8493660701476929,1.0773835373804013,6.844122443571586,-6.844122133486355,203.13355412520468,11872.0,11059.465783499181,6.844122443571586,-6.844122443571586,6.830735549996128,-6.830735549996128,-6.844122443571586,6.844122443571586,6.844122443571586,0.9602125995880143,0.8235297098438245,1.3721675599708358,0.9917167862887994,64.20587921142578,104.07754516601562,0.8249894618017058,1.0144604444503784,1.4337979555130005,0.5330444574356079,-4.595182725568471,3987.761652116169,347125.7604829216,331174.71387445694,4.595178008763616,4.595178008763616,-4.595178008763616,4.457050951662574,-4.457050951662574,-4.595178008763616,4.595178008763616,0.9630951740601799,27.51521755817735,64.03400421142578,103.79495239257812,0.793205949612683,3.4158119335388175,0.8249916448602712,346205.21875,330283.90625,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1918.1357421875,63355.44140625,64422.6953125,1.0773835373804013,0.9917167862887994,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_none_dunnhumby_final_seed7_sample,extension3_lstm_none,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.3530309200286865,2.021744728088379,0.8512337719407558,1.0778677978624476,6.397685942533765,-6.397685336295485,189.88331877440214,11872.0,11112.466724902391,6.397685942533765,-6.397685942533765,6.376863233488653,-6.376863233488653,-6.397685942533765,6.397685942533765,6.397685942533765,0.9596038240251773,0.8235297098438245,1.3758812498469266,0.9884522949136431,63.6991081237793,102.87158966064453,0.8272457353513043,1.0083149671554565,1.4321688413619995,0.5341049432754517,-3.7787638917596866,4344.223833758304,347125.7604829216,334008.6942724506,5.005936554768643,3.778764846556638,-3.778764846556638,4.922926714264915,-3.6408719161437375,-3.778764846556646,5.005936554768643,0.9585059425756141,27.51521755817735,63.53038787841797,102.59358215332031,0.7945717398284313,3.3756421547312594,0.8272427125632136,346205.21875,333120.875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1916.5283203125,63355.44140625,64853.25390625,1.0778677978624476,0.9884522949136431,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_static_dunnhumby_final_seed123_sample,extension3_lstm_static,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.4283225536346436,2.0262320041656494,0.8497755764660034,1.0762826187364452,7.69453510363408,-7.694534342886623,228.3738018758595,11872.0,10958.504792496562,7.69453510363408,-7.69453510363408,7.694139051446166,-7.694139051446166,-7.69453510363408,7.69453510363408,7.69453510363408,0.9625432006908161,0.8235297098438245,1.3584151558750286,0.9934684393039948,63.80743408203125,102.22184753417969,0.8286413915207125,1.0081428289413452,1.4300035238265991,0.5355127453804016,-1.9009681649949624,1649.682727435371,347125.7604829216,340527.02957318013,1.900962608064963,1.900962608064963,-1.900962608064963,1.866862358633075,-1.866862358633075,-1.900962608064963,1.900962608064963,0.9608218618391879,27.51521755817735,63.637142181396484,101.94351959228516,0.7955379987728216,3.354920075257933,0.8286480229052589,346205.21875,339621.375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1921.8001098632812,63355.44140625,64194.015625,1.0762826187364452,0.9934684393039948,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_static_dunnhumby_final_seed42_sample,extension3_lstm_static,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.3161442279815674,2.015071153640747,0.8516143003803971,1.0320768322924396,4.817258975860184,-4.817261400248484,142.97624640353024,11872.0,11300.095014385879,4.817258975860184,-4.817258975860184,4.800948318937008,-4.800948318937008,-4.817258975860184,4.817258975860184,4.817258975860184,0.972410640004663,0.8235297098438245,1.3498766442103305,0.9892941111094821,62.79499816894531,99.97840881347656,0.830332519433909,1.0500646829605103,1.5074186325073242,0.4838601350784302,-5.260863678364397,4565.448569300061,347125.7604829216,328863.9662057214,5.260858269865774,5.260858269865774,-5.260858269865774,5.1177693527835615,-5.1177693527835615,-5.260858269865774,5.260858269865774,0.9652776363546013,27.51521755817735,62.62488555908203,99.70760345458984,0.7958825234136078,3.3876197855236247,0.8303488355617966,346205.21875,327976.25,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2081.46630859375,63355.44140625,64741.67578125,1.0320768322924396,0.9892941111094821,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_static_dunnhumby_final_seed7_sample,extension3_lstm_static,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.353314161300659,2.028381109237671,0.8518590024669357,1.0847820875164051,7.531779504574414,-7.53177941006149,223.5432156957686,11872.0,10977.827137216926,7.531779504574414,-7.531779504574414,7.5188204698197145,-7.5188204698197145,-7.531779504574414,7.531779504574414,7.531779504574414,0.9580549808272587,0.8235297098438245,1.3518690753753313,0.9987908338080136,62.4420051574707,99.78132629394531,0.8286153629630276,1.0044326782226562,1.4257487058639526,0.5382726192474365,-5.253427612327809,4852.580592167553,347125.7604829216,328889.76119714254,5.591726278587494,5.253427247925692,-5.253427247925692,5.493637230023558,-5.140208371977587,-5.253427247925704,5.591726278587494,0.9495143380192026,27.51521755817735,62.274845123291016,99.51219177246094,0.7960776305680329,3.3645044933562325,0.8286225518418281,346205.21875,328020.34375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1893.8678588867188,63355.44140625,63509.02734375,1.0847820875164051,0.9987908338080136,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_dynamic_dunnhumby_final_seed123_sample,extension3_transformer_dynamic,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.6182658672332764,2.1791093349456787,0.8279268522022054,1.0499177106077324,0.4841972408863914,-0.48420127190026957,19.66633637715131,11872.0,11814.516103561968,0.6626124116290872,-0.4841972408863914,0.6557329294608114,-0.4764721891885294,-0.4841972408863914,0.6626124116290872,0.6626124116290872,1.023507574228858,0.8235297098438245,1.354742680487325,0.9912687907213131,66.971923828125,105.00120544433594,0.8098213221640016,1.0625803470611572,1.5766464471817017,0.43536442518234253,-0.22321701861645238,927.382726655047,347125.7604829216,346350.9080223227,1.0686417802756805,0.22321952122508773,-0.22321952122508773,1.0679711982369602,-0.2602545310385795,-0.2232195212250919,1.0686417802756805,1.0085604010536389,27.51521755817735,66.79601287841797,104.72156524658203,0.7740644839310596,3.3292475299731836,0.8098272817550138,346205.21875,345435.34375,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2013.9376831054688,63355.44140625,64481.443359375,1.0499177106077324,0.9912687907213131,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_dynamic_dunnhumby_final_seed42_sample,extension3_transformer_dynamic,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.653292655944824,2.143097400665283,0.8338632628113527,1.1079772351639092,5.502165273783321,-5.502163046453841,163.304265325889,11872.0,11218.782938696444,5.502165273783321,-5.502165273783321,5.495046891063135,-5.495046891063135,-5.502165273783321,5.502165273783321,5.502165273783321,0.9980717301705788,0.8235297098438245,1.4055300817590517,1.0055487419299265,67.52658081054688,108.25272369384766,0.8110614736150552,1.0127760171890259,1.4818143844604492,0.5012450218200684,-0.6280955100565141,2155.6925409269643,347125.7604829216,344945.4787743942,2.484047900020976,0.6280956231811218,-0.6280956231811218,2.4397097668623644,-0.5071332264006818,-0.6280956231811343,2.484047900020976,0.9949466590363167,27.51521755817735,67.34676361083984,107.9637680053711,0.7777384739568558,3.353797011999847,0.8110558351764168,346205.21875,344022.3125,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1821.6142578125,63355.44140625,62660.072265625,1.1079772351639092,1.0055487419299265,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_dynamic_dunnhumby_final_seed7_sample,extension3_transformer_dynamic,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.636218786239624,2.1739132404327393,0.8256090989108015,1.1124268794852954,6.053029197504157,-6.053025896015836,179.65390658192337,11872.0,11153.384373672307,6.053029197504157,-6.053029197504157,6.049000876216377,-6.049000876216377,-6.053029197504157,6.053029197504157,6.053029197504157,1.0031685096139404,0.8235297098438245,1.3928139750806974,1.0013836048077822,67.55512237548828,108.10336303710938,0.8033776851651645,1.0257538557052612,1.4850223064422607,0.4990832209587097,-5.646332777098789,4899.970921767315,347125.7604829216,327525.8767958524,5.6463351091552205,5.6463351091552125,-5.6463351091552125,5.52111864186293,-5.52111864186293,-5.6463351091552205,5.6463351091552205,0.9908713435306081,27.51521755817735,67.3726577758789,107.8116683959961,0.7699485897785892,3.352319088984271,0.8033709358379155,346205.21875,326644.0,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1808.379150390625,63355.44140625,63180.607421875,1.1124268794852954,1.0013836048077822,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_full_dunnhumby_final_seed123_sample,extension3_transformer_full,dunnhumby,final,123,sample,strict,valendin_aggregate_mape_v1,3.7188150882720947,2.204845428466797,0.825697105801574,1.0705698302548718,2.7068767909994826,-2.7068845024006065,80.34010315686464,11872.0,11550.639587372541,2.7068767909994826,-2.7068767909994826,2.697196050932845,-2.697196050932845,-2.7068767909994826,2.7068767909994826,2.7068767909994826,1.022120710409656,0.8235297098438245,1.3853268446504947,1.001008829392473,67.35025787353516,106.0813217163086,0.8112396785855738,1.0520058870315552,1.540868878364563,0.46069931983947754,-1.3156165308969445,1167.722711197799,347125.7604829216,342558.8994859262,1.3455903815069932,1.3156214596813536,-1.3156214596813536,1.3483618144893854,-1.3170525855005266,-1.3156214596813702,1.3455903815069932,0.9982852812624133,27.51521755817735,67.17303466796875,105.80164337158203,0.7758901785790376,3.382002433606253,0.8112350571626628,346205.21875,341656.21875,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1941.0419921875,63355.44140625,63227.869140625,1.0705698302548718,1.001008829392473,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_full_dunnhumby_final_seed42_sample,extension3_transformer_full,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.8146793842315674,2.191315174102783,0.836999193985671,1.1075677904772945,6.286929039073722,-6.286933672717318,186.59605387970805,11872.0,11125.615784481168,6.286929039073722,-6.286929039073722,6.271063615811761,-6.271063615811761,-6.286929039073722,6.286929039073722,6.286929039073722,1.0081333490445312,0.8235297098438245,1.3905936864071375,1.009793402983231,68.13218688964844,108.98220825195312,0.8157145860694234,1.0050139427185059,1.4701340198516846,0.5090769529342651,0.7817862114809979,3617.266149202078,347125.7604829216,349839.53435813263,4.168248584224616,0.7817840633422342,0.7817840633422342,4.1115983911228655,0.9346167885803305,0.7817840633422258,4.168248584224616,0.9992885750508292,27.51521755817735,67.951171875,108.69247436523438,0.7843302801259658,3.3416837465837177,0.8157056152075919,346205.21875,348885.875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1822.8418579101562,63355.44140625,62138.349609375,1.1075677904772945,1.009793402983231,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_full_dunnhumby_final_seed7_sample,extension3_transformer_full,dunnhumby,final,7,sample,strict,valendin_aggregate_mape_v1,3.5690574645996094,2.170640707015991,0.8292197664430678,1.0430429327995863,5.869416979761579,-5.869410430003369,174.20429595932364,11872.0,11175.182816162705,5.869416979761579,-5.869416979761579,5.863255794180752,-5.863255794180752,-5.869416979761579,5.869416979761579,5.869416979761579,1.0106511382414156,0.8235297098438245,1.3918221900773697,0.9884720515952479,65.81105041503906,103.9232406616211,0.8120513304813685,1.0441325902938843,1.5329872369766235,0.4662022590637207,-4.482147319811337,4082.900474288428,347125.7604829216,331567.04067104135,4.704808388300878,4.482156492861538,-4.482156492861538,4.588326904161284,-4.355717295458142,-4.482156492861555,4.704808388300878,0.9923275905912838,27.51521755817735,65.6380386352539,103.64633178710938,0.7763757666269259,3.3757888923943633,0.8120494308824533,346205.21875,330685.8125,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2039.43359375,63355.44140625,64850.630859375,1.0430429327995863,0.9884720515952479,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
