run_name,model,dataset,version,seed,mode,protocol_variant,metric,estimate,ci_low,ci_high,n_customers,n_resamples
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,clv_mae,65.08578104782906,61.93761070292649,68.31843506242033,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,clv_spearman,0.7908423136088616,0.7729147262021451,0.8077877767129791,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,freq_mae,2.2883854684717444,2.1777163991194555,2.4125764278796025,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,freq_rmse,3.9579012952633184,3.5217459686013206,4.4310501563473785,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,spend_mae_raw,65.26178736735383,62.10800568191551,68.49864125064222,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,bias_pct,10.097253366594385,6.965469325002099,13.35416071904448,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,clv_decile_lift,3.4070275503806458,3.2151619052554397,3.6108464191097602,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,clv_mae,64.93573184429502,61.97695819417341,68.02430674435855,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,clv_spearman,0.7894048104950633,0.7719387019377395,0.8059787796157538,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,freq_mae,2.1952576159094694,2.0925484816868116,2.298156382870585,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,freq_rmse,3.4929904463140073,3.179702728743973,3.8214203831105014,2498,1000
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,spend_mae_raw,65.11277081443369,62.14691606970479,68.2091209025551,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,bias_pct,6.1857581745476695,3.3116180927245553,9.36037638233074,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,clv_decile_lift,3.222922606781635,3.027600213260133,3.410328301827667,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,clv_mae,76.8418901821582,73.29258276630549,80.39863919804723,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,clv_spearman,0.7577232145059521,0.7372090274528132,0.7771094371509943,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,freq_mae,2.1698019057035065,2.0486567550726544,2.28614747773847,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,freq_rmse,3.6356192478332403,3.2695277574873653,3.9926650898977205,2498,1000
