run_name,model,dataset,version,seed,mode,protocol_variant,quality_tier,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured,final_finetune_enabled,final_finetune_epochs,final_finetune_lr_multiplier,final_finetune_batch_size_multiplier,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,smearing_source,spend_mae,spend_rmse,spend_r2
lstm_joint_cdnow_v7_seed7_sample,lstm_joint,cdnow,v7,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.3243207931518555,0.5464590787887573,0.5197985863411761,4.382177899487606,48.885932275682784,-48.88592978384981,24.796323166443752,1196.0,611.3242499828339,53.90505036183424,-48.885932275682784,53.35085516065804,-46.43015879028512,-48.885932275682784,53.90505036183424,53.90505036183424,0.34052218131009165,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,27.383644104003906,4587.64013671875,1225.8488159179688,4.382177899487606,3.742419193253718,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -48.9% exceeds 15.0%; absolute spend bias -51.9% exceeds 50.0%,large frequency bias (-48.9%); large spend bias (-51.9%),120.0,120.0,,,,,1.267547331819414,3.742419193253718,19.397090911865234,52.76398849487305,0.5726705715954115,1.3891481161117554,1.8314458131790161,-0.15712523460388184,-51.88676765919191,938.6795605581434,43103.43998063614,20738.45761114524,56.62116198956689,51.88676908278824,-51.88676908278824,56.46111536984664,-47.81567417740285,-51.886769082788256,56.62116198956689,0.5682398243228396,1.7675491305339937,18.992687225341797,51.65278244018555,0.2844067395328369,4.704716824408531,0.5732282339732647,42218.734375,20407.796875,rolling_origin_autoregressive,,,
transformer_joint_cdnow_v6b_seed42_sample,transformer_joint,cdnow,v6b,42.0,sample,strict,A,valendin_aggregate_mape_v1,1.5322883129119873,0.6040496826171875,0.531708334696816,3.7215524616572124,6.65298468592175,-6.652985129468019,20.701878091463676,1196.0,1116.4303031563759,45.004082807529734,-6.65298468592175,48.0725427574522,-5.544662608816526,-6.65298468592175,45.004082807529734,45.004082807529734,0.41313245930208803,0.08338133039507842,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,120.0,32.24460792541504,4587.64013671875,1584.2616577148438,3.7215524616572124,2.895759115533991,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,True,,,100.0,100.0,,,,,1.2422531797506298,2.895759115533991,20.732311248779297,60.692771911621094,0.5453527077183177,0.8017113208770752,1.6964021921157837,0.0072272419929504395,-16.324067831016958,686.2805245532456,43103.43998063614,36067.20280246446,41.396449207767034,16.32407339491384,-16.32407339491384,44.94041197084561,-12.861198621293285,-16.32407339491384,41.396449207767034,0.6736897987374544,1.7675491305339937,20.342172622680664,59.520084381103516,0.4366367180348707,4.883372853671703,0.5457777183069991,42218.734375,35506.88671875,rolling_origin_autoregressive,,,
transformer_joint_cdnow_v7_seed42_sample,transformer_joint,cdnow,v7,42.0,sample,strict,B,valendin_aggregate_mape_v1,1.3129591941833496,0.509784996509552,0.556243659805622,3.775688166965141,28.66240053322403,-28.662395158340303,20.06864915558925,1196.0,853.1976896226406,43.62749816432446,-28.66240053322403,46.02844432387733,-27.01806800008465,-28.66240053322403,43.62749816432446,43.62749816432446,0.36654277603510693,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,31.782285690307617,4587.64013671875,1563.6824340820312,3.775688166965141,2.933869458866148,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -28.7% exceeds 15.0%,large frequency bias (-28.7%); large spend bias (-33.7%),120.0,120.0,,,,,1.2495289056431347,2.933869458866148,18.437992095947266,54.285282135009766,0.5684810539230986,0.7865258455276489,1.6350475549697876,0.07774084806442261,-33.65826028956507,748.1603965698388,43103.43998063614,28595.569563131055,45.129043806142924,33.65826584611953,-33.65826584611953,47.513691452717836,-30.739293140223833,-33.65826584611955,45.129043806142924,0.6099204593282832,1.7675491305339937,18.073949813842773,53.20236587524414,0.45067462357214766,4.850505693381449,0.5689828440814717,42218.734375,28159.0390625,rolling_origin_autoregressive,,,
transformer_joint_cdnow_v7_seed7_sample,transformer_joint,cdnow,v7,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.2499098777770996,0.46536436676979065,0.5909462024280899,3.2396906929830016,40.921689385554465,-40.921694139971784,22.952358266481987,1196.0,706.5765949487686,49.89643101409128,-40.921689385554465,50.279848450509746,-39.10150308240375,-40.921689385554465,49.89643101409128,49.89643101409128,0.3430189391043014,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,37.04057312011719,4587.64013671875,1665.1314697265625,3.2396906929830016,2.7551218748343658,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -40.9% exceeds 15.0%,large frequency bias (-40.9%); large spend bias (-42.5%),120.0,120.0,,,,,1.260465731790521,2.7551218748343658,16.813095092773438,49.99639892578125,0.602528273816358,0.7758664488792419,1.5800670385360718,0.1387222409248352,-42.49304906076227,840.4425423599521,43103.43998063614,24787.474592070732,50.69550391146359,42.49304787922658,-42.49304787922658,51.48007291301142,-38.5030909038792,-42.493047879226594,50.69550391146359,0.5807760832397615,1.7675491305339937,16.477773666381836,48.9783821105957,0.4661825894172004,5.116930255532599,0.602948378945872,42218.734375,24400.330078125,rolling_origin_autoregressive,,,
transformer_joint_cdnow_v7_twostage_seed42_sample,transformer_joint,cdnow,v7_twostage,42.0,sample,strict,B,valendin_aggregate_mape_v1,1.3798469305038452,0.5567240118980408,0.5001071697372297,5.914480887275166,24.447663220573826,-24.447662455581103,25.30051054748205,1196.0,903.605947881937,55.001109885830544,-24.447663220573826,59.28912893019257,-24.204723753195577,-24.447663220573826,55.001109885830544,55.001109885830544,0.38162094534638696,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,20.289185523986816,4587.64013671875,841.0883178710938,5.914480887275166,5.454409530179514,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -24.4% exceeds 15.0%,large frequency bias (-24.4%); large spend bias (-20.8%),55.0,120.0,,,,,1.4065730489616743,5.454409530179514,20.820219039916992,55.581729888916016,0.4927526557442446,0.8410379886627197,1.7730129957199097,-0.08446621894836426,-20.838489897122475,939.1338049417811,43103.43998063614,34121.32909328933,56.648562016061035,20.838501268998368,-20.838501268998368,63.70294619394278,-18.682127876059056,-20.838501268998357,56.648562016061035,0.6626987325226174,1.7675491305339937,20.448265075683594,54.52174377441406,0.41277157708535467,4.095831748820845,0.49317371674714605,42218.734375,33701.2421875,rolling_origin_autoregressive,,,
transformer_joint_cdnow_v7_twostage_seed7_sample,transformer_joint,cdnow,v7_twostage,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.1759357452392578,0.46362313628196716,0.6266304525671651,2.7056900007164764,27.129184960521584,-27.12918284744722,18.597626764040726,1196.0,871.5349478721619,40.42962340008854,-27.129184960521584,40.62385828650117,-23.96479989317458,-27.129184960521584,40.42962340008854,40.42962340008854,0.3640384911525563,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,44.35097885131836,4587.64013671875,1815.9283447265625,2.7056900007164764,2.526333238886441,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -27.1% exceeds 15.0%,large frequency bias (-27.1%); large spend bias (-25.6%),80.0,120.0,,,,,1.5412833537841173,2.526333238886441,17.216421127319336,47.464515686035156,0.634835321096745,0.8022477626800537,1.6016778945922852,0.11500149965286255,-25.606657495414375,635.5298609779542,43103.43998063614,32066.08917116658,38.335168591764315,25.606658805951447,-25.606658805951447,38.179343295700185,-20.44643957460498,-25.606658805951465,38.335168591764315,0.6280693146647114,1.7675491305339937,16.86577606201172,46.48261642456055,0.48031230206713954,5.1536916661370675,0.6353162846104248,42218.734375,31509.580078125,rolling_origin_autoregressive,,,
pareto_nbd_dunnhumby,pareto_nbd,dunnhumby,,,,strict,A,,33.91511154174805,19.464054107666016,,,,-74.21148205273407,,,,,,,,,,74.21148205273407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg_dunnhumby,bgnbd_gg,dunnhumby,,,,strict,A,,186.19483947753906,120.94330596923828,,,,-20.24189759220936,,,,,,,,,,20.24189759220936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6741840142318416,2.702983433149889,-1.6075194404143414
lstm_base_dunnhumby_v6_seed2024_sample,lstm_base,dunnhumby,v6,2024.0,sample,strict,A,valendin_aggregate_mape_v1,3.6883387565612793,2.2029097080230713,0.8535388846760327,1.2089841628183708,10.053895377601695,10.053888613965633,298.3996148072183,11872.0,13065.598459228873,10.053895377601695,10.053895377601695,10.075710491336515,10.075710491336515,10.053895377601695,10.053895377601695,10.053895377601695,1.0347236438831904,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1832.1166381835938,0.0,0.0,1.2089841628183708,1.0,2.0,dunnhumby_configured_80x4,2498.0,80.0,4.0,sample,30.0,True,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_dunnhumby_v6_seed42_sample,lstm_base,dunnhumby,v6,42.0,sample,strict,A,valendin_aggregate_mape_v1,3.3031351566314697,2.071288585662842,0.8544469774581916,1.1431794224075083,7.6973481033803175,7.697347553592486,228.45729170832783,11872.0,12785.829166833311,7.6973481033803175,7.6973481033803175,7.71564511008877,7.71564511008877,7.6973481033803175,7.6973481033803175,7.6973481033803175,0.9988253111996411,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1937.57861328125,0.0,0.0,1.1431794224075083,1.0,2.0,dunnhumby_configured_80x4,2498.0,80.0,4.0,sample,30.0,True,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
