run_name,model,dataset,version,seed,mode,protocol_variant,quality_tier,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,freq_calibration_factor,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mase_scale,calibration_temperature_source,validation_temperature,smearing_source,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured,final_finetune_enabled,final_finetune_epochs,final_finetune_lr_multiplier,final_finetune_batch_size_multiplier
bgnbd_gg_dunnhumby,bgnbd_gg,dunnhumby,,,,strict,A,valendin_aggregate_mape_v1,4.139822483062744,2.41641902923584,0.7884608894634645,1.3111684682020848,-1.3111700587516846,50.02911187466486,11872.0,11716.338079455049,1.6856169769091938,-1.3111684682020848,1.6744654743088752,-1.2921596009539773,-1.3111684682020885,1.6856169769091938,1.6856169769091938,0.9623487484774759,70.744873046875,109.2636947631836,0.7760177511391725,1.1186250448226929,1.6536636352539062,0.37885355949401855,-2.763497810231595,3058.6636241658343,347125.75980485417,337532.939657348,3.524559659168299,2.763499935268143,-2.763499935268143,3.3998707010589677,-2.604773922819106,-2.7634999352681513,3.524559659168299,0.8406124004969321,70.55828094482422,108.97396087646484,0.7305961145430244,3.305783866980568,0.7760169902517061,346205.21875,336624.375,dunnhumby_80x4,2498,80,4,benchmark_expected_total,0,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_dunnhumby_v6_seed2024_sample,lstm_base,dunnhumby,v6,2024.0,sample,strict,A,valendin_aggregate_mape_v1,3.7708566188812256,2.2421863079071045,0.8516690363734387,10.643327401918322,10.643330288704515,315.8939572889358,11872.0,13135.575829155743,10.643327401918322,10.643327401918322,10.661416197822499,10.661416197822499,10.643327401918322,10.643327401918322,10.643327401918322,1.0423717646717794,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x4,2498,80,4,sample,30,1.2013996006608025,0.8235297098438245,,,,rolling_origin_autoregressive,0.9,,rolling_origin_autoregressive,2215.0,1843.6829833984375,0.0,0.0,1.2013996006608025,1.0,2.0,True,,,105.0,100.0,True,5.0,0.1,4.0
lstm_base_dunnhumby_v6_seed42_sample,lstm_base,dunnhumby,v6,42.0,sample,strict,A,valendin_aggregate_mape_v1,3.5258450508117676,2.153986930847168,0.8510835162735831,10.133105981247775,10.133102704893867,300.750585523434,11872.0,13075.002342093736,10.133105981247775,10.133105981247775,10.156046646717382,10.156046646717382,10.133105981247775,10.133105981247775,10.133105981247775,1.0156515894717273,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x4,2498,80,4,sample,30,1.2760390670789918,0.8235297098438245,,,,rolling_origin_autoregressive,0.75,,rolling_origin_autoregressive,2215.0,1735.8402709960938,0.0,0.0,1.2760390670789918,1.0,2.0,True,,,105.0,100.0,True,5.0,0.1,4.0
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7.0,sample,strict,B,valendin_aggregate_mape_v1,3.6413419246673584,2.260633707046509,0.8510788655029325,16.292626299955593,16.292627545379883,483.565148582682,11872.0,13806.260594330728,16.292626299955593,16.292626299955593,16.317462189085436,16.317462189085436,16.292626299955593,16.292626299955593,16.292626299955593,1.0436468676772581,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x4,2498,80,4,sample,30,1.2282898299577603,0.8235297098438245,,,,rolling_origin_autoregressive,0.9,,rolling_origin_autoregressive,2215.0,1803.3203125,0.0,0.0,1.2282898299577603,1.0,2.0,False,absolute frequency bias 16.3% exceeds 15.0%,large frequency bias (16.3%),105.0,100.0,True,5.0,0.1,4.0
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,A,valendin_aggregate_mape_v1,4.134013652801514,2.306899309158325,0.8361070807744654,7.55454508228117,7.554540094339622,224.21889804210514,11872.0,12768.87559216842,7.55454508228117,7.55454508228117,7.567817276347738,7.567817276347738,7.55454508228117,7.55454508228117,7.55454508228117,1.060891919080137,64.0661392211914,103.21480560302734,0.8302250700354846,1.0545636415481567,1.5025800466537476,0.4871683716773987,-3.119159627310852,2706.8486132752296,347125.7604829216,336298.36602982075,3.119156134663656,3.119156134663639,-3.119156134663639,3.027620113349961,-3.027620113349961,-3.119156134663656,3.119156134663656,0.9724175504435458,63.894142150878906,102.93641662597656,0.7898188353925641,3.4201156004895705,0.8302301306736511,346205.21875,335398.78125,dunnhumby_configured_80x4,2498,80,4,sample,30,1.168938890112711,0.8235297098438245,1.5174732541897271,0.9224047892046233,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1894.8809204101562,63355.44140625,68685.07421875,1.168938890112711,0.9224047892046233,2.0,True,,,94.0,100.0,True,5.0,0.1,4.0
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,A,valendin_aggregate_mape_v1,3.9579012393951416,2.2883853912353516,0.8337797874407011,7.500876262476493,7.500875221108491,222.62600747030228,11872.0,12762.50402988121,7.500876262476493,7.500876262476493,7.519100073487395,7.519100073487395,7.500876262476493,7.500876262476493,7.500876262476493,1.0572621677474876,65.26178741455078,105.78255462646484,0.8291349151385891,1.057487964630127,1.4964405298233032,0.4913506507873535,-2.16090638623035,2795.3122481849896,347125.7604829216,339624.6827324139,3.2210945615746285,2.160910714339448,-2.160910714339448,3.10916324795279,-2.0015645483227043,-2.160910714339444,3.2210945615746285,0.9775497047796023,65.08578491210938,105.4931640625,0.7908423136088616,3.3792963325800236,0.8291455867938634,346205.21875,338707.28125,dunnhumby_configured_80x4,2498,80,4,sample,30,1.165281804076285,0.8235297098438245,1.5598681823716158,0.9218170471718864,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1900.8277587890625,63355.44140625,68728.8671875,1.165281804076285,0.9218170471718864,2.0,True,,,104.0,100.0,True,5.0,0.1,4.0
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7.0,sample,strict,A,valendin_aggregate_mape_v1,3.492990493774414,2.1952576637268066,0.8423951611951145,10.097253298941707,10.097254832799866,299.6864779125899,11872.0,13070.74591165036,10.097253298941707,10.097253298941707,10.121071270555278,10.121071270555278,10.097253298941707,10.097253298941707,10.097253298941707,1.0320799630513748,65.1127700805664,103.83353424072266,0.8301808335593291,1.0651936531066895,1.5153944492340088,0.4783838987350464,0.46371883964240623,2771.304086553897,347125.7604829216,348735.42872420466,3.193429473742838,0.46371327758667924,0.46371327758667924,3.1987314326980556,0.6126402557346142,0.46371327758666664,3.193429473742838,0.9809240383644277,64.93573760986328,103.55052947998047,0.7894048104950633,3.4070275503806458,0.8301948426024948,346205.21875,347805.90625,dunnhumby_configured_80x4,2498,80,4,sample,30,1.1900289898262453,0.8235297098438245,1.5597056612986246,0.9097971037711019,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1861.2991943359375,63355.44140625,69636.890625,1.1900289898262453,0.9097971037711019,2.0,True,,,104.0,100.0,True,5.0,0.1,4.0
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,A,valendin_aggregate_mape_v1,3.6356194019317627,2.169801950454712,0.8421650076731754,6.185758084051231,6.185756796453841,183.59329993464053,11872.0,12606.373199738562,6.185758084051231,6.185758084051231,6.210212797575025,6.210212797575025,6.185758084051231,6.185758084051231,6.185758084051231,1.0229120620003505,77.0543441772461,120.04576873779297,0.7747743863285028,1.1017365455627441,1.5719783306121826,0.4387030005455017,5.736429809658315,9687.979644509316,347125.7604829216,367038.3720148823,11.163653923040908,5.736425756549505,5.736425756549505,11.12652970223201,6.0350238171353014,5.7364257565494885,11.163653923040908,1.0774378737640529,76.8418960571289,119.72090911865234,0.7577232145059521,3.222922606781635,0.7747750910889012,346205.21875,365995.5,dunnhumby_configured_80x4,2498,80,4,sample,30,1.0529129785058777,0.8235297098438245,1.4159039748507651,1.0051591664866315,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2103.6876220703125,63355.44140625,63030.2578125,1.0529129785058777,1.0051591664866315,2.0,True,,,125.0,120.0,True,5.0,0.1,4.0
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,A,valendin_aggregate_mape_v1,3.753278970718384,2.2318572998046875,0.8417768471996456,5.877404324139275,5.877405870956873,174.44136034045368,11872.0,12569.765441361815,5.877404324139275,5.877404324139275,5.90459141408229,5.90459141408229,5.877404324139275,5.877404324139275,5.877404324139275,1.016828880369543,74.14338684082031,118.87893676757812,0.77770130508191,1.0552258491516113,1.4836407899856567,0.5000147819519043,-1.877372609205742,7227.6123785747,347125.7604829216,340608.89801354345,8.328523205560591,1.8773779451896326,-1.8773779451896326,8.031282352654301,-1.5432931355462094,-1.8773779451896537,8.328523205560591,1.0359596571124348,73.94171905517578,118.5598373413086,0.7589471479067055,3.183645220709787,0.7776906794506345,346205.21875,339633.09375,dunnhumby_configured_80x4,2498,80,4,sample,30,1.1860170195554816,0.8235297098438245,1.392798294822693,1.0511374814083096,27.51521755817735,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1867.595458984375,63355.44140625,60273.220703125,1.1860170195554816,1.0511374814083096,2.0,True,,,125.0,120.0,True,5.0,0.1,4.0
transformer_joint_dunnhumby_v7_twostage_seed7_sample,transformer_joint,dunnhumby,v7_twostage,7.0,sample,strict,A,valendin_aggregate_mape_v1,3.5518136024475098,2.2028825283050537,0.8474004636699087,11.744103491660256,11.744101799401955,348.56499163247645,11872.0,13266.259966529906,11.744103491660256,11.744103491660256,11.777724578815912,11.777724578815912,11.744103491660256,11.744103491660256,11.744103491660256,1.035984507122972,72.1822738647461,120.01371002197266,0.7756487672994933,1.0607339143753052,1.5025852918624878,0.4871647357940674,-15.412687261028605,13375.348869385452,347125.7604829216,293624.36500537983,15.412683692247626,15.412683692247617,-15.412683692247617,15.338396255060385,-15.338396255060385,-15.412683692247626,15.412683692247626,1.0062631280869492,71.98953247070312,119.69329833984375,0.7571744944353821,3.240338771622611,0.775647010990676,346205.21875,292823.1875,dunnhumby_configured_80x4,2498,80,4,sample,30,1.1271626381137285,0.8235297098438245,1.4731919673423262,0.9979409575444206,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1965.1112670898438,63355.44140625,63486.162109375,1.1271626381137285,0.9979409575444206,2.0,True,,,125.0,120.0,True,5.0,0.1,4.0
extension3_lstm_dynamic_dunnhumby_v8_seed2024_sample,extension3_lstm_dynamic,dunnhumby,v8,2024.0,sample,strict,A,valendin_aggregate_mape_v1,3.3863751888275146,2.0225210189819336,0.8519092069398561,9.283370995263988,-9.283373233764319,275.5304511394352,11872.0,10769.87819544226,9.283370995263988,-9.283370995263988,9.27155831489638,-9.27155831489638,-9.283370995263988,9.283370995263988,9.283370995263988,0.9538229547449005,67.27204895019531,110.54248809814453,0.8278122124663867,1.0215638875961304,1.4378278255462646,0.5304158926010132,0.6468657251730822,1826.5407107393949,347125.7604829216,349371.18336957355,2.104759621640653,0.6468614958244835,0.6468614958244835,2.107527426549087,0.7398132528029457,0.6468614958244625,2.104759621640653,0.9861638992032566,67.09168243408203,110.24410247802734,0.7935482417559465,3.375219449834652,0.8278055074540198,346205.21875,348438.15625,dunnhumby_configured_80x4,2498,80,4,sample,30,1.0689164915684843,0.8235297098438245,1.4935656090447003,0.9874311904526006,27.51521755817735,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1736.3479614257812,63355.44140625,66709.265625,1.0689164915684843,0.9874311904526006,2.0,True,,,120.0,120.0,,,,
extension3_lstm_dynamic_dunnhumby_v8_seed42_sample,extension3_lstm_dynamic,dunnhumby,v8,42.0,sample,strict,A,valendin_aggregate_mape_v1,3.1491873264312744,1.9708174467086792,0.8551045248778666,3.5094096401274566,-3.50940632370283,104.15927811898291,11872.0,11455.362887524068,3.5094096401274566,-3.5094096401274566,3.497543611407568,-3.497543611407568,-3.5094096401274566,3.5094096401274566,3.5094096401274566,0.9705349349689794,66.23050689697266,106.7971420288086,0.8310193005209574,1.062790036201477,1.5224007368087769,0.47354942560195923,1.3682181457296094,3671.77365009586,347125.7604829216,351875.161366059,4.23105867451345,1.368207555823571,1.368207555823571,4.23040412807291,1.5446457866489849,1.3682075558235751,4.23105867451345,0.9937677562042477,66.0506362915039,106.5091781616211,0.7936335729643739,3.412770884311708,0.8310193292657166,346205.21875,350926.5,dunnhumby_configured_80x4,2498,80,4,sample,30,1.0361124379774729,0.8235297098438245,1.4878435819241582,0.9795388247561813,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1935.4279174804688,63355.44140625,69002.96875,1.0361124379774729,0.9795388247561813,2.0,True,,,120.0,120.0,,,,
extension3_lstm_dynamic_dunnhumby_v8_seed7_sample,extension3_lstm_dynamic,dunnhumby,v8,7.0,sample,strict,A,valendin_aggregate_mape_v1,3.228917121887207,1.9951257705688477,0.8520527845773767,1.5805116397105259,-1.5805144194322778,56.24025299213827,11872.0,11684.361658133566,1.894887230193338,-1.5805116397105259,1.885616293657729,-1.5646438985586624,-1.5805116397105259,1.894887230193338,1.894887230193338,0.9757411386204058,66.64036560058594,106.43142700195312,0.8268572513975126,1.068840742111206,1.5335232019424438,0.46582895517349243,2.7219422644387516,3505.5780498290405,347125.7604829216,356574.30941159383,4.039548139500886,2.721938272609727,2.721938272609727,4.101051625676458,2.864947635621645,2.72193827260971,4.039548139500886,0.9931271354392215,66.46139526367188,106.14460754394531,0.789698193736766,3.4018711032452376,0.8268617926805917,346205.21875,355618.75,dunnhumby_configured_80x4,2498,80,4,sample,30,1.0523009369468452,0.8235297098438245,1.470411051129052,0.9871732348331607,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1831.783935546875,63355.44140625,66781.8203125,1.0523009369468452,0.9871732348331607,2.0,True,,,120.0,120.0,,,,
extension3_lstm_full_dunnhumby_v8_seed2024_sample,extension3_lstm_full,dunnhumby,v8,2024.0,sample,strict,A,valendin_aggregate_mape_v1,3.3593714237213135,2.041517496109009,0.8521587982981041,3.7452163523680597,-3.7452224772574123,111.15802133828402,11872.0,11427.367914646864,3.7452163523680597,-3.7452163523680597,3.7311564555805874,-3.7311564555805874,-3.7452163523680597,3.7452163523680597,3.7452163523680597,0.978171666003613,65.87615966796875,106.78881072998047,0.8313779119808044,1.0580443143844604,1.5136228799819946,0.47960275411605835,2.90460301490166,3021.909990211385,347125.7604829216,357208.3619605609,3.4822077001802474,2.9045961508625466,2.9045961508625466,3.5470516357022626,3.0051704926155143,2.9045961508625338,3.4822077001802474,0.9931623837882457,65.69871520996094,106.50347137451172,0.7949113930751939,3.3855098453866646,0.831362177529169,346205.21875,356250.875,dunnhumby_configured_80x4,2498,80,4,sample,30,1.0456679906152893,0.8235297098438245,1.5021639472492823,0.9828724861562925,27.51521755817735,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1872.8777465820312,63355.44140625,68015.1640625,1.0456679906152893,0.9828724861562925,2.0,True,,,120.0,120.0,,,,
