model,dataset,version,seed,mode,protocol_variant,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_mape,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,run_valid,run_invalid_reason,run_warning
lstm_joint,dunnhumby,v2,7,sample,strict,14.104379653930664,8.646576881408691,0.8708871127735686,0.9933413275239487,4.185039888332538,-4.185039888332538,218.3976517320526,62910.0,60277.191881654784,8.748081672834038,-2.6903371677592216,1.026850410763774,0.8235297098438245,1.4153137329781988,0.9801140376271978,300.5672912597656,468.9998474121094,0.8518536607626652,0.7528026103973389,1.2681633234024048,0.45436781644821167,-0.2703723781210226,5952.400298781428,1965992.2999520553,1960676.7037822423,7.9484803459410465,1.730443215637174,1.1110558082637452,27.51521755817735,294.5462951660156,459.68914794921875,0.8153856236009532,3.2351084267217027,0.8523648619846123,1929812.75,1924008.0,validation_only,0.9961150884628296,validation_only,21969.0,22265.517578125,646302.7100964336,673072.0823021207,0.9933413275239487,0.9801140376271978,True,,
transformer_joint,dunnhumby,v2,123,sample,strict,15.947534561157227,9.22701644897461,0.8605478501080133,0.9876625972206944,2.7211803071848673,2.7211803071848673,140.1018527418121,62910.0,64621.89522207063,6.439897304681846,4.366694491241107,1.0560373804597538,0.8235297098438245,1.3999797595356935,0.9695645831521302,300.32501220703125,482.98828125,0.8555376844719149,0.7338983416557312,1.2268859148025513,0.48930925130844116,-0.6371083100658205,6425.905786767176,1965992.2999520553,1953466.6679399153,8.549541829554554,1.3939518926052707,1.098535544850923,27.51521755817735,294.4329528808594,473.4519958496094,0.8146812133994679,3.238766330657098,0.8559176961099869,1929812.75,1916895.25,validation_only,1.0080021619796753,validation_only,17490.0,17932.48046875,510671.0401096433,543770.8234739196,0.9876625972206944,0.9695645831521302,True,,
transformer_joint,dunnhumby,v2,42,sample,strict,14.611724853515625,9.084554672241211,0.8671857851939995,0.9872842939062136,7.246090645366396,7.246090645366396,221.87297899750146,62910.0,67468.51553649455,9.601477841666185,9.121871891217955,1.0574140034334436,0.8235297098438245,1.3869000912340812,0.9662238749451924,312.6342468261719,498.2664489746094,0.8581439592892107,0.7441570162773132,1.2496020793914795,0.47022294998168945,7.287732187143668,8095.413362208772,1965992.2999520553,2109268.592029379,11.287586785686088,9.69500475075688,1.1317248526132375,27.51521755817735,306.37469482421875,488.3373718261719,0.8177011215761864,3.2692583061371785,0.8585453951635101,1929812.75,2068918.75,validation_only,1.0103768110275269,validation_only,18807.0,19297.76953125,552284.4896824306,592295.3749927063,0.9872842939062136,0.9662238749451924,True,,
transformer_joint,dunnhumby,v2,7,sample,strict,15.000086784362793,9.066060066223145,0.8659083883625005,0.9865278140391436,4.609449511206486,4.609449511206486,191.14242611738683,62910.0,65809.80478139361,8.688770774366501,6.720481985772224,1.0534653272143293,0.8235297098438245,1.4218081933830076,0.9623192096728621,300.3314514160156,489.23065185546875,0.8566994654448569,0.7318369150161743,1.2214285135269165,0.4938424229621887,-0.5694579925226053,7030.006185033769,1965992.2999520553,1954796.7544215582,9.507467662075813,1.8464128847021588,1.104766422507163,27.51521755817735,294.388671875,479.5488586425781,0.8163327900642957,3.262190412796236,0.8571081545558509,1929812.75,1917849.0,validation_only,1.0295301675796509,validation_only,21969.0,22577.33203125,646302.7100964336,698978.861979106,0.9865278140391436,0.9623192096728621,True,,
extension3_lstm_dynamic,dunnhumby,final,123,sample,strict,3.395573139190674,2.069589138031006,0.8502610453716066,0.9941116878430343,0.9995617313847708,-0.9995617313847708,36.145048670470715,11872.0,11753.332490622997,1.2135867109675822,-0.9942850411564775,0.998616285129837,0.8235297098438245,1.398095257259048,0.9826733143328988,64.66903686523438,102.87810516357422,0.831465976245372,1.0799129009246826,1.5742263793945312,0.43709641695022583,1.6336749002342812,1732.4781388814372,347125.7604829216,352796.6545737296,2.027531290024951,1.6872693097473472,0.9906389180858931,27.51521755817735,64.4959716796875,102.59571075439453,0.7948768329399414,3.4064039322950497,0.8314717385805539,346205.21875,351853.84375,validation_only,0.9734378457069397,validation_only,17490.0,17698.427734375,510671.0401096433,529002.7695185925,0.9941116878430343,0.9826733143328988,True,,
extension3_lstm_dynamic,dunnhumby,final,42,sample,strict,3.3223631381988525,2.0265135765075684,0.8491911296209131,0.9959174756351525,3.761715130664589,-3.761715130664589,111.64770154841244,11872.0,11425.40919380635,3.74470052914184,-3.74470052914184,0.9837242279834658,0.8235297098438245,1.3805824533879658,0.986525810486131,63.82073211669922,100.98673248291016,0.8294842919587129,1.0792244672775269,1.5723822116851807,0.4384145736694336,-2.2070892176682366,2844.942155914585,347125.7604829216,339464.3464946451,3.1615922504876335,-2.0425017278373083,0.9836452461150879,27.51521755817735,63.64852523803711,100.71147918701172,0.7927918072544888,3.3964141889086394,0.8294978206765719,346205.21875,338545.375,validation_only,0.970923900604248,validation_only,18807.0,18961.82421875,552284.4896824306,567579.8465148173,0.9959174756351525,0.986525810486131,True,,
extension3_lstm_dynamic,dunnhumby,final,7,sample,strict,3.26664662361145,2.031141519546509,0.851796634440006,0.9997525257919664,1.9363608964369945,-1.9363608964369945,66.3784651895985,11872.0,11642.115430686623,2.2267148251967184,-1.9203053700452146,0.987684481469849,0.8235297098438245,1.4180704770702672,0.9831808140697259,64.30644226074219,100.47225189208984,0.8329937724649449,1.0881754159927368,1.5960253477096558,0.42139899730682373,1.493370918175906,2535.9700506604204,347125.7604829216,352309.6200051707,2.964124668935027,1.623630858698015,0.9928845571300418,27.51521755817735,64.13516998291016,100.2009506225586,0.7952120274376359,3.381190273258016,0.8329940127681543,346205.21875,351371.65625,validation_only,0.9808070659637451,validation_only,21969.0,21979.87890625,646302.7100964336,668800.0550485105,0.9997525257919664,0.9831808140697259,True,,
extension3_lstm_full,dunnhumby,final,123,sample,strict,3.4463419914245605,2.078798294067383,0.8508670765625367,0.9939362241740426,0.5204686578714622,-0.5204686578714622,24.052420331165195,11872.0,11810.210235722363,0.8028212401952686,-0.5155973672277283,1.0009434932907642,0.8235297098438245,1.3948893397177158,0.9803263282918311,63.85383224487305,100.88125610351562,0.8309160297362307,1.0787057876586914,1.567824125289917,0.44166576862335205,0.7539054650944219,1499.7761077970936,347125.7604829216,349742.77103380614,1.7210349585884948,0.8069912066924909,0.9837573991840461,27.51521755817735,63.683082580566406,100.6067886352539,0.7953899388505559,3.416912522877644,0.8309160565974316,346205.21875,348805.375,validation_only,0.9710034728050232,validation_only,17490.0,17704.71484375,510671.0401096433,531587.5999611828,0.9939362241740426,0.9803263282918311,True,,
extension3_lstm_full,dunnhumby,final,42,sample,strict,3.2299814224243164,2.0077333450317383,0.8529834157096117,0.9959818971354542,2.5628843076145555,-2.5628843076145555,76.06642536912113,11872.0,11567.734298523515,2.5488224100199215,-2.5488224100199215,0.9775423852344722,0.8235297098438245,1.3764635614302263,0.9884071306231488,63.51515579223633,100.59156799316406,0.8301086959943578,1.065554141998291,1.5445315837860107,0.4581323266029358,-1.992370560236456,2662.0689356789007,347125.7604829216,340209.71551685943,2.968989457492437,-1.8457227172107464,0.9778032027792727,27.51521755817735,63.34510040283203,100.31842803955078,0.7957918251209014,3.4070479127604867,0.8301106642819022,346205.21875,339292.1875,validation_only,0.9772511720657349,validation_only,18807.0,18959.361328125,552284.4896824306,565393.5569877757,0.9959818971354542,0.9884071306231488,True,,
extension3_lstm_full,dunnhumby,final,7,sample,strict,3.272610902786255,2.0248289108276367,0.8532933478357878,1.000984855179255,1.357982871988713,-1.357982871988713,63.24852849915624,11872.0,11710.780057772994,2.1255608671182307,-1.336309303912013,0.9880745331128379,0.8235297098438245,1.4171893952331298,0.983793506100235,64.05078125,101.23380279541016,0.8331097556837547,1.077858567237854,1.5738368034362793,0.437375009059906,0.9243318163518551,2641.667603031503,347125.7604829216,350334.35629563907,3.049554302568056,1.0609631068174818,0.9889268127517328,27.51521755817735,63.88134765625,100.96009063720703,0.7978692989804224,3.368957300415591,0.8331067828065215,346205.21875,349396.5,validation_only,0.9817638993263245,validation_only,21969.0,21925.8125,646302.7100964336,667953.0646309763,1.000984855179255,0.983793506100235,True,,
