model,dataset,version,seed,mode,freq_rmse,freq_mae,freq_mape,bias_pct,spend_mae,spend_rmse,spend_r2,freq_normalized_gini,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,run_valid,run_invalid_reason,run_warning,smearing_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred
transformer_joint,cdnow,v2,42.0,sample,1.2399578094482422,0.5292021036148071,30.27425402382943,-30.27425402382943,,,,0.6687817009718904,15.043269380819625,1196.0,833.9199954131618,31.1619915530855,-27.172293845053623,0.3786716285641676,0.08338133039507842,True,,,1.2507887155986182,20.028362274169922,48.61647033691406,0.6935349718058017,1.6827126741409302,1.9300603866577148,-0.2850914001464844,-17.251469937867483,449.96429108274856,43103.43998063614,35667.46338088705,27.277610651530065,-11.196105307375058,0.6905574136297563,1.7675491305339937,19.61334800720215,47.624752044677734,0.42575432804645374,5.081099117724854,0.6939972838942301,42218.734375,34938.66015625
transformer_joint,cdnow,v2,7.0,sample,1.2248214483261108,0.5504440665245056,18.80061427087688,-18.80061427087688,,,,0.6706682155829706,13.149107212988802,1196.0,971.1446384396404,26.893513881371312,-13.298729134895467,0.4035810742947047,0.08338133039507842,True,,,1.289622425608796,20.376953125,49.09062194824219,0.6925184204616474,1.6685566902160645,1.9274852275848389,-0.2816643714904785,-16.71092792773198,523.2232190859337,43103.43998063614,35900.45284656066,31.66973182978267,-7.81294481866918,0.6930354482543077,1.7675491305339937,19.96051597595215,48.08099365234375,0.41119706220274727,4.826925700774878,0.6932002945669017,42218.734375,35167.46875
pareto_nbd,dunnhumby,,,,33.91511154174805,19.464054107666016,74.21148205273407,-74.21148205273407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,dunnhumby,,,,186.19483947753906,120.94330596923828,20.24189759220936,-20.24189759220936,1.6741840142318416,2.702983433149889,-1.6075194404143414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,dunnhumby,v2,123.0,sample,13.790775299072266,8.489455223083496,0.052847073199809254,0.052847073199809254,,,,0.8776696152573199,143.10867651386863,62910.0,62943.24674632307,6.4641242296265125,1.7333086206984736,1.025572138309418,0.8235297098438245,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,dunnhumby,v2,42.0,sample,13.9981689453125,8.509135246276855,2.005748539580353,2.005748539580353,,,,0.8767352525551224,139.43884554297918,62910.0,64171.81514912564,6.496217769166685,3.776060032505012,1.0330001064180567,0.8235297098438245,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,dunnhumby,v2,7.0,sample,13.935047149658203,8.704967498779297,5.53317735654109,5.53317735654109,,,,0.8786152494001123,180.007803093896,62910.0,66390.91761922278,8.13039019002536,7.4182758293155695,1.0436152806962562,0.8235297098438245,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint,dunnhumby,v2,123.0,sample,14.356369972229004,8.875986099243164,1.0482422806390082,-1.0482422806390082,,,,0.8650467686579766,172.90607217961752,62910.0,62250.549624161795,7.51596898425899,0.6590646918887327,1.0425566840847988,0.8235297098438245,True,,,1.390507726759927,314.3609924316406,499.7571105957031,0.8537567809765884,0.7718570828437805,1.3168865442276,0.41163569688796997,5.045035147010371,6862.997414952362,1965992.2999520553,2065177.329909477,9.498437694537758,7.188526697131356,1.1443000213999521,27.51521755817735,308.1019287109375,489.9130554199219,0.8153456614545667,3.244731728030627,0.854241892789412,1929812.75,2026360.5
lstm_joint,dunnhumby,v2,42.0,sample,14.376030921936035,8.800952911376953,2.9954125933873788,-2.9954125933873788,,,,0.8705859865555546,184.84891644632444,62910.0,61025.583250678144,7.652952893425087,-1.4956835167045808,1.0360022818552084,0.8235297098438245,True,,,1.3902969288155913,300.47589111328125,473.2442626953125,0.8585087361488484,0.7396666407585144,1.2616404294967651,0.45996642112731934,0.07922208238613351,6109.719193539716,1965992.2999520553,1967549.6794565907,8.183701048867151,2.0011696480114085,1.1142479283710829,27.51521755817735,294.52960205078125,463.8809814453125,0.8239094829088971,3.209740899024187,0.858987425605555,1929812.75,1930912.875
lstm_joint,dunnhumby,v2,7.0,sample,14.5452880859375,8.830739974975586,1.2029089175011922,-1.2029089175011922,,,,0.8723709706182591,152.44352738864043,62910.0,62153.246496759355,6.558754877454877,0.21634442763083037,1.0386365342336774,0.8235297098438245,True,,,1.4251869761374945,305.46343994140625,463.9736633300781,0.8568175738535238,0.7613877058029175,1.285526156425476,0.43932467699050903,3.1848675903986905,6402.671659920877,1965992.2999520553,2028606.6383321274,8.74862624581303,5.195486310327593,1.1300067245034615,27.51521755817735,299.3802490234375,454.9054260253906,0.822604132346305,3.1931357220113505,0.8573076912538629,1929812.75,1991086.0
transformer_joint,dunnhumby,v2,123.0,sample,15.231249809265137,8.939719200134277,3.0107619019233827,3.0107619019233827,,,,0.8657240978260741,161.926495753398,62910.0,64804.07085415721,7.273697264941865,4.741035637270037,1.0490410849784702,0.8235297098438245,True,,,1.3925281867237151,290.4645080566406,461.1140441894531,0.8588559872797551,0.7222519516944885,1.2186897993087769,0.4961097836494446,-0.7765417183104358,6108.048859928964,1965992.2999520553,1950725.5952560515,8.186237616773413,1.2475037345026792,1.0969152444622077,27.51521755817735,284.72265625,452.0612487792969,0.8208520330409866,3.264475043858764,0.8592403062004161,1929812.75,1914327.25
transformer_joint,dunnhumby,v2,42.0,sample,15.064594268798828,9.385299682617188,11.016494297408997,11.016494297408997,,,,0.8668593851290123,316.23652564844286,62910.0,69840.47461140156,12.971327852794865,12.929461815478618,1.072816425099891,0.8235297098438245,True,,,1.3790468116907493,310.1820983886719,485.029052734375,0.8586467666019754,0.746933102607727,1.2556498050689697,0.465082585811615,7.316801477727086,7961.311588105013,1965992.2999520553,2109840.1827247757,10.991265255648857,9.55635875352267,1.132158019211485,27.51521755817735,303.99908447265625,475.40771484375,0.8181132749006308,3.2789199165037313,0.8590366098715956,1929812.75,2070005.375
transformer_joint,dunnhumby,v2,7.0,sample,15.550162315368652,9.308947563171387,8.426335737561597,8.426335737561597,,,,0.8678640577866401,251.66667418021032,62910.0,68211.01048429683,11.007453335981014,10.651531776272085,1.0696605407640989,0.8235297098438245,True,,,1.443113383808512,315.3016662597656,530.4046630859375,0.8565128388554507,0.7388755679130554,1.2364567518234253,0.4813104271888733,4.699217405358541,7264.208273035859,1965992.2999520553,2058378.4613231127,10.172365385163053,7.061306220302489,1.1276655428379205,27.51521755817735,309.02667236328125,519.8883056640625,0.8159999018711714,3.2327086314697797,0.8568872327084803,1929812.75,2019197.875
pareto_nbd,tafeng,,,,1.2928977012634277,0.9239565134048462,14.802479399707902,14.802479399707902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,tafeng,,,,1.2972151041030884,0.9309380054473877,16.100279649483852,16.100279649483852,2.5144926127745757,3.9721244783129066,-0.26582947691848857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,tafeng,v2,123.0,sample,1.5455873012542725,1.1198196411132812,62.59973404255319,62.59973404255319,,,,0.6547186483636492,4060.4289780430495,30127.0,48986.41981868446,76.26364544258303,71.51236906672005,1.038865692549181,0.3518873876671712,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,tafeng,v2,42.0,sample,1.2815344333648682,0.8725695013999939,6.562946028479437,6.562946028479437,,,,0.6551548350158947,1584.460983182676,30127.0,32104.218944435008,33.34258162623021,14.269254448798623,0.829247756650281,0.3518873876671712,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,tafeng,v2,7.0,sample,1.3184293508529663,0.918933629989624,21.117542507551367,21.117542507551367,,,,0.6534864555140951,1441.7888268582524,30127.0,36489.08151169494,26.73234990947738,24.152025038678104,0.8737993597033696,0.3518873876671712,True,,,,,,,,,,,,,,,,,,,,,,,,
